Age,Gender,Occupation,MonthlyDisposableIncome,HealthConsciousness,ExerciseFrequency,ConsumptionFrequency,TryNewBrand,SubscribePlan,SpendPerServing,PackagingFormat,PurchaseChannel,TopHealthBenefit,RecommendLikelihood,CurrentBrands,ExtraFeatures,Flavour_MixedBerry,Flavour_Mango,Flavour_GreenTea,Flavour_Chocolate,Flavour_Coffee,Flavour_Herbal,Flavour_Other,Context_PostWorkout,Context_Breakfast,Context_Afternoon,Context_Evening,Context_SpecialOccasion,Barrier_HighPrice,Barrier_PoorTaste,Barrier_LackTrust,Barrier_HardToFind,Barrier_UnsustainablePack,Rank_Taste,Rank_Price,Rank_NutritionalValue,Rank_BrandReputation,Rank_Packaging,SurveyDate,City,Feedback
18,Male,Student,1946,4,3-4,Monthly,No,Yes,6.2,Bottle,Supermarket,Weight management,4,BrandD,None,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,4,3,5,2,2024-09-02 23:51:04,Abu Dhabi,HighPrice; PoorTaste
60,Other,Student,1455,4,5+,Weekly,No,No,1.03,Bottle,Online retailer,Energy boost,4,BrandB,None,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,3,5,1,2,2024-12-27 05:34:04,Ajman,HighPrice; HardToFind
39,Female,Retired,1249,4,3-4,Weekly,No,Yes,3.66,Powder sachet,Supermarket,Immune support,5,BrandD,Eco packaging,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,5,4,2,2025-06-24 21:11:41,Abu Dhabi,UnsustainablePack
20,Male,Student,13379,4,1-2,Weekly,Yes,Yes,27.96,Can,Supermarket,Muscle recovery,4,BrandC,No artificial flavors,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,5,1,3,2,4,2024-02-05 19:24:48,Fujairah,PoorTaste; HardToFind
20,Female,Working professional,2790,3,1-2,Monthly,No,No,6.64,Tetra Pak,Supermarket,Weight management,4,BrandD,No artificial flavors,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,5,4,2024-04-12 13:30:08,Fujairah,PoorTaste
20,Female,Working professional,19543,2,5+,Weekly,Yes,Yes,39.89,Can,Online retailer,Digestive health,1,BrandB,Organic,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,3,2,5,1,4,2025-03-22 18:20:02,Ajman,PoorTaste; UnsustainablePack
22,Male,Working professional,3034,4,1-2,Never,Yes,No,7.33,Bottle,Pharmacy,Immune support,3,BrandA,Organic,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,2,1,3,4,2024-05-18 04:05:56,Sharjah,PoorTaste; LackTrust
26,Female,Homemaker,1057,4,3-4,Never,No,No,5.12,Can,Online retailer,Immune support,5,BrandC,No artificial flavors,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,3,4,2,2024-09-13 12:40:16,Umm Al Quwain,HighPrice
24,Female,Student,1799,1,None,Rarely,No,No,2.5,Jar,Online retailer,Digestive health,4,BrandC,Gluten-free,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,5,4,1,3,2024-11-23 12:54:07,Sharjah,LackTrust
22,Male,Working professional,14946,4,None,Weekly,Yes,No,28.08,Bottle,Convenience store,Weight management,5,None,Organic,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,4,3,1,2,2025-05-18 13:26:35,Fujairah,HighPrice
29,Female,Other,4271,2,3-4,Monthly,Yes,No,10.11,Jar,Gym/Fitness centre,Energy boost,4,BrandA,None,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,3,2,5,4,1,2024-06-20 00:51:16,Abu Dhabi,HighPrice; LackTrust
19,Male,Working professional,3001,4,3-4,Never,Yes,No,2.24,Can,Pharmacy,Energy boost,5,BrandC,Organic,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,3,4,5,2024-09-06 15:41:57,Fujairah,No barriers
22,Female,Retired,5676,4,1-2,Rarely,Yes,Yes,12.66,Bottle,Online retailer,Energy boost,2,BrandB,Eco packaging,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,4,2,5,2024-12-23 08:27:54,Sharjah,HighPrice; PoorTaste
23,Other,Student,7720,4,1-2,Weekly,No,Yes,16.39,Can,Pharmacy,Energy boost,1,BrandB,Gluten-free,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,3,5,2,1,4,2024-06-11 12:13:38,Abu Dhabi,PoorTaste
25,Female,Working professional,13436,5,5+,Daily,Yes,No,22.18,Bottle,Online retailer,Immune support,4,BrandD,Organic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,5,2,3,2024-10-19 04:53:08,Umm Al Quwain,No barriers
36,Male,Working professional,18100,3,1-2,Daily,Yes,No,34.93,Bottle,Supermarket,Immune support,4,None,Organic,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,4,5,2025-06-26 23:52:22,Fujairah,No barriers
20,Female,Self-employed,3555,5,3-4,Monthly,Yes,No,10.26,Jar,Supermarket,Muscle recovery,3,BrandD,Low sugar,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,3,2,4,2024-09-04 23:33:29,Abu Dhabi,HighPrice
26,Female,Other,1490,4,5+,Monthly,Yes,Yes,1.0,Powder sachet,Supermarket,Muscle recovery,4,BrandA,None,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,4,1,3,5,2025-04-04 03:49:05,Umm Al Quwain,HighPrice
28,Male,Working professional,3388,4,1-2,Rarely,Yes,Yes,7.2,Jar,Supermarket,Weight management,4,BrandB,No artificial flavors,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,5,4,2024-01-21 09:59:24,Dubai,No barriers
18,Female,Working professional,6212,4,5+,Weekly,No,Yes,10.41,Jar,Pharmacy,Energy boost,5,BrandA,Low sugar,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,1,4,5,2024-04-26 12:10:30,Sharjah,No barriers
29,Male,Working professional,2064,4,1-2,Daily,Yes,No,2.71,Powder sachet,Gym/Fitness centre,Immune support,2,BrandB,None,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,5,2,4,1,2024-08-12 17:35:23,Dubai,LackTrust
20,Female,Working professional,2077,4,3-4,Weekly,Yes,No,7.99,Powder sachet,Convenience store,Energy boost,2,BrandC,Eco packaging,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3,1,2,4,2024-06-04 13:35:11,Fujairah,No barriers
18,Male,Working professional,6697,4,1-2,Weekly,Yes,No,13.64,Bottle,Online retailer,Muscle recovery,5,BrandC,Low sugar,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,2,3,5,4,2025-03-02 23:01:00,Umm Al Quwain,UnsustainablePack
53,Male,Other,4704,2,5+,Daily,Yes,Yes,10.44,Can,Gym/Fitness centre,Energy boost,4,BrandD,No artificial flavors,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,1,4,5,2025-05-05 19:26:08,Umm Al Quwain,HardToFind
58,Male,Working professional,5062,1,1-2,Monthly,No,Yes,9.9,Bottle,Supermarket,Digestive health,4,BrandC,No artificial flavors,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,2,5,3,1,4,2024-07-25 05:41:38,Dubai,HighPrice
37,Female,Working professional,2483,4,1-2,Monthly,Yes,No,1.94,Can,Online retailer,Muscle recovery,1,BrandC,Low sugar,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,3,2,4,5,1,2025-06-04 23:16:10,Fujairah,HighPrice; PoorTaste; LackTrust; HardToFind
22,Male,Student,3994,3,5+,Rarely,No,No,5.62,Powder sachet,Gym/Fitness centre,Muscle recovery,5,BrandC,No artificial flavors,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,4,3,1,2024-08-21 19:04:23,Umm Al Quwain,No barriers
19,Female,Working professional,2139,4,3-4,Weekly,Yes,Yes,6.63,Bottle,Pharmacy,Energy boost,5,BrandB,Organic,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,4,2024-02-23 12:16:26,Ajman,No barriers
31,Male,Working professional,10951,2,3-4,Weekly,Yes,No,22.21,Tetra Pak,Online retailer,Weight management,5,BrandB,High protein,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,5,3,1,4,2,2025-01-30 23:29:07,Abu Dhabi,HighPrice
24,Male,Working professional,12478,4,1-2,Weekly,Yes,Yes,23.42,Tetra Pak,Online retailer,Weight management,5,BrandA,Low sugar,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,4,5,1,2,3,2024-08-23 14:34:36,Ras Al Khaimah,PoorTaste
19,Female,Homemaker,933,5,3-4,Rarely,Yes,No,4.47,Bottle,Supermarket,Energy boost,4,None,Low sugar,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,4,5,3,2,1,2024-08-22 07:56:07,Dubai,No barriers
26,Female,Working professional,2129,5,None,Daily,No,No,5.58,Bottle,Gym/Fitness centre,Digestive health,4,None,None,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2,1,5,2024-10-26 20:25:52,Ajman,No barriers
18,Male,Working professional,1278,4,None,Rarely,Yes,No,3.46,Can,Pharmacy,Digestive health,4,BrandD,No artificial flavors,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,5,1,2,4,3,2024-10-07 05:54:03,Sharjah,HighPrice; PoorTaste; HardToFind
46,Female,Student,2738,4,3-4,Weekly,Yes,No,3.94,Bottle,Online retailer,Weight management,5,BrandC,Organic,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,3,4,5,2025-03-29 00:19:33,Ras Al Khaimah,No barriers
21,Female,Homemaker,4559,5,1-2,Rarely,Yes,Yes,5.97,Can,Supermarket,Weight management,5,BrandC,Gluten-free,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,5,3,2024-06-29 23:54:45,Umm Al Quwain,No barriers
31,Female,Self-employed,1333,4,5+,Rarely,Yes,No,1.85,Can,Supermarket,Digestive health,4,BrandB,None,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,5,3,1,2024-03-17 03:33:38,Abu Dhabi,No barriers
22,Male,Student,2144,3,5+,Weekly,No,No,6.51,Can,Online retailer,Energy boost,3,BrandA,Organic,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,4,2,3,5,2024-10-24 13:24:12,Ajman,PoorTaste
26,Male,Self-employed,1991,5,3-4,Monthly,Yes,No,5.69,Bottle,Online retailer,Energy boost,5,BrandB,Gluten-free,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,5,3,2,1,2024-04-28 11:11:32,Ras Al Khaimah,No barriers
27,Female,Working professional,5923,4,5+,Daily,Yes,No,12.67,Can,Supermarket,Energy boost,4,None,High protein,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,5,2,1,4,2024-02-19 02:21:21,Abu Dhabi,PoorTaste; UnsustainablePack
20,Male,Student,5231,4,3-4,Rarely,No,Yes,10.12,Bottle,Pharmacy,Energy boost,3,BrandA,Gluten-free,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,5,3,2024-06-01 08:25:46,Abu Dhabi,No barriers
59,Female,Working professional,2567,3,1-2,Weekly,Yes,No,4.1,Powder sachet,Supermarket,Weight management,4,BrandC,Gluten-free,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5,3,4,1,2,2025-02-15 05:53:59,Ras Al Khaimah,No barriers
35,Female,Working professional,5763,2,3-4,Weekly,Yes,No,11.22,Bottle,Supermarket,Energy boost,5,None,High protein,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4,5,2,1,3,2025-06-21 02:51:24,Ajman,No barriers
51,Female,Working professional,3005,5,1-2,Rarely,Yes,Yes,7.57,Powder sachet,Gym/Fitness centre,Muscle recovery,3,BrandB,None,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,5,2,4,3,2024-01-16 02:29:42,Umm Al Quwain,HighPrice; LackTrust
45,Female,Retired,3849,4,1-2,Rarely,No,No,9.72,Tetra Pak,Online retailer,Muscle recovery,2,BrandC,None,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,3,1,5,4,2025-02-19 03:42:34,Ras Al Khaimah,PoorTaste
28,Other,Self-employed,22161,3,5+,Weekly,No,Yes,43.8,Jar,Pharmacy,Weight management,1,None,Organic,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,3,4,5,2,2024-04-12 14:48:49,Dubai,HighPrice; PoorTaste
48,Male,Working professional,16423,3,3-4,Monthly,Yes,Yes,37.92,Bottle,Supermarket,Weight management,3,BrandC,None,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,5,2,3,1,2024-12-25 15:10:21,Abu Dhabi,PoorTaste
19,Female,Working professional,1526,4,5+,Weekly,Yes,Yes,9.08,Bottle,Supermarket,Digestive health,3,BrandD,No artificial flavors,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,4,2,3,5,1,2024-03-08 23:55:58,Sharjah,PoorTaste; HardToFind
20,Male,Working professional,10371,4,1-2,Weekly,No,No,20.05,Can,Supermarket,Muscle recovery,5,BrandB,Gluten-free,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,2,3,5,2024-10-25 14:51:16,Umm Al Quwain,No barriers
18,Male,Working professional,10201,3,3-4,Monthly,Yes,No,23.35,Bottle,Supermarket,Energy boost,3,BrandD,None,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,2,4,5,1,3,2024-04-26 19:44:22,Fujairah,PoorTaste; LackTrust
22,Female,Working professional,1749,5,None,Weekly,Yes,No,1.0,Powder sachet,Pharmacy,Weight management,5,BrandA,No artificial flavors,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,4,3,2,2024-11-10 23:02:22,Fujairah,No barriers
23,Female,Student,10269,2,3-4,Weekly,Yes,No,21.5,Bottle,Supermarket,Energy boost,2,BrandA,Low sugar,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,3,4,5,2024-04-01 01:51:07,Ras Al Khaimah,No barriers
21,Other,Working professional,19617,4,3-4,Rarely,No,Yes,39.09,Powder sachet,Convenience store,Weight management,5,BrandC,None,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,2,4,3,2024-02-24 04:55:31,Ras Al Khaimah,UnsustainablePack
39,Female,Self-employed,1790,4,3-4,Daily,Yes,Yes,6.48,Jar,Gym/Fitness centre,Immune support,3,BrandB,Low sugar,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,3,5,2,4,2024-06-07 06:20:51,Abu Dhabi,LackTrust; HardToFind
23,Male,Working professional,2152,3,1-2,Monthly,Yes,Yes,5.51,Bottle,Online retailer,Energy boost,4,None,No artificial flavors,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,3,1,4,5,2024-09-29 15:03:15,Abu Dhabi,HighPrice; PoorTaste
21,Male,Student,12282,5,None,Weekly,Yes,No,24.84,Tetra Pak,Convenience store,Muscle recovery,3,BrandB,Eco packaging,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,2,3,1,4,2024-10-12 22:58:48,Ras Al Khaimah,No barriers
27,Female,Self-employed,6275,4,1-2,Daily,Yes,No,13.88,Bottle,Supermarket,Energy boost,4,BrandD,Low sugar,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,5,4,2,3,2024-02-01 17:37:44,Fujairah,PoorTaste
19,Male,Working professional,8073,5,3-4,Daily,No,Yes,14.03,Bottle,Supermarket,Immune support,2,BrandA,None,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,4,3,2025-03-04 12:10:34,Sharjah,No barriers
37,Male,Working professional,6678,2,5+,Monthly,Yes,No,15.29,Bottle,Gym/Fitness centre,Weight management,4,None,Organic,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,5,3,2,4,2025-06-04 01:19:54,Abu Dhabi,PoorTaste
18,Male,Working professional,6986,2,1-2,Rarely,Yes,No,11.28,Powder sachet,Supermarket,Weight management,3,BrandB,None,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,2,3,5,1,4,2024-10-03 22:26:30,Abu Dhabi,HighPrice; LackTrust
70,Male,Working professional,1489,3,3-4,Daily,Yes,Yes,3.69,Can,Convenience store,Muscle recovery,5,BrandA,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,4,2,1,2025-01-27 15:28:00,Dubai,No barriers
35,Male,Self-employed,12614,4,5+,Daily,Yes,No,25.3,Tetra Pak,Convenience store,Muscle recovery,3,BrandD,High protein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,5,2024-01-23 05:03:51,Ajman,No barriers
20,Male,Working professional,14082,4,3-4,Never,No,No,24.64,Bottle,Convenience store,Muscle recovery,3,None,High protein,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3,4,1,5,2,2024-03-22 21:55:22,Dubai,HighPrice; LackTrust
18,Male,Working professional,3998,5,3-4,Daily,Yes,No,8.13,Can,Convenience store,Muscle recovery,3,None,Eco packaging,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,1,2,3,5,2024-01-20 23:30:36,Sharjah,LackTrust; HardToFind
38,Male,Homemaker,4726,4,5+,Rarely,No,Yes,10.02,Bottle,Online retailer,Weight management,4,BrandA,No artificial flavors,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,2,5,4,2024-05-04 16:21:36,Fujairah,No barriers
32,Other,Homemaker,1239,5,1-2,Weekly,Yes,No,1.17,Bottle,Online retailer,Weight management,2,BrandC,No artificial flavors,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3,2,5,4,2024-09-16 00:56:16,Ajman,HighPrice
33,Male,Homemaker,7807,4,1-2,Rarely,Yes,No,13.59,Bottle,Supermarket,Muscle recovery,3,BrandC,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,5,3,2025-04-11 02:41:48,Fujairah,No barriers
35,Male,Working professional,8224,3,None,Weekly,Yes,Yes,17.43,Can,Gym/Fitness centre,Muscle recovery,4,BrandD,Eco packaging,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,5,4,1,3,2025-02-15 21:05:54,Ras Al Khaimah,LackTrust
18,Female,Working professional,4647,3,5+,Rarely,Yes,No,10.02,Tetra Pak,Supermarket,Energy boost,2,BrandB,None,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4,1,3,5,2,2024-07-16 20:26:33,Fujairah,No barriers
23,Male,Other,13520,4,5+,Rarely,Yes,Yes,27.49,Bottle,Pharmacy,Muscle recovery,4,BrandB,Eco packaging,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,5,4,2,2024-10-08 18:57:27,Sharjah,HighPrice; PoorTaste
19,Female,Self-employed,3639,3,3-4,Weekly,No,No,7.3,Powder sachet,Convenience store,Immune support,2,None,No artificial flavors,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,5,2,4,2025-02-14 07:55:31,Sharjah,HighPrice
41,Female,Student,8169,2,None,Daily,Yes,No,15.2,Bottle,Supermarket,Digestive health,4,None,Low sugar,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,4,2,5,3,1,2025-03-10 01:45:27,Dubai,PoorTaste; HardToFind
29,Male,Student,1963,4,3-4,Rarely,Yes,No,8.47,Can,Supermarket,Energy boost,5,BrandD,No artificial flavors,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,4,3,2,2024-01-02 13:54:39,Ajman,No barriers
22,Male,Working professional,4812,5,1-2,Monthly,No,Yes,9.03,Bottle,Online retailer,Weight management,3,BrandD,None,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,3,4,5,2024-02-09 02:52:32,Sharjah,PoorTaste
18,Female,Retired,4201,2,None,Daily,No,Yes,6.67,Bottle,Gym/Fitness centre,Weight management,3,BrandC,Gluten-free,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,3,1,4,2024-12-17 19:33:51,Ajman,No barriers
22,Female,Working professional,6020,5,3-4,Daily,Yes,Yes,12.15,Powder sachet,Gym/Fitness centre,Weight management,5,BrandA,Gluten-free,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,5,3,2024-06-22 18:11:55,Fujairah,No barriers
22,Male,Working professional,3524,5,5+,Rarely,Yes,Yes,6.69,Jar,Online retailer,Weight management,4,BrandD,Gluten-free,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1,4,2024-10-04 03:23:13,Umm Al Quwain,No barriers
33,Female,Student,4366,4,5+,Weekly,Yes,Yes,8.09,Tetra Pak,Pharmacy,Weight management,4,BrandC,Low sugar,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3,1,2,5,4,2024-08-18 01:59:22,Fujairah,HighPrice
30,Male,Working professional,10337,2,3-4,Monthly,No,No,24.42,Powder sachet,Supermarket,Energy boost,4,BrandB,Organic,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,5,3,1,4,2025-06-23 10:57:40,Ras Al Khaimah,UnsustainablePack
44,Other,Self-employed,3317,3,None,Weekly,No,Yes,4.37,Jar,Online retailer,Energy boost,3,None,No artificial flavors,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,2,5,1,3,2025-03-10 08:59:59,Ajman,No barriers
25,Male,Working professional,1158,4,1-2,Rarely,No,No,2.39,Tetra Pak,Online retailer,Energy boost,5,None,No artificial flavors,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,5,1,4,2024-03-28 03:50:36,Dubai,HighPrice
19,Female,Self-employed,23733,4,1-2,Never,No,Yes,45.34,Jar,Supermarket,Weight management,4,None,Low sugar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,5,2,1,2024-09-18 22:53:45,Fujairah,LackTrust
32,Female,Other,17040,5,3-4,Never,Yes,No,33.0,Bottle,Online retailer,Energy boost,4,BrandB,Organic,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,4,5,1,2025-06-25 03:28:55,Dubai,No barriers
35,Female,Working professional,1536,4,5+,Daily,No,No,6.54,Can,Pharmacy,Energy boost,5,BrandC,None,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1,4,2024-10-16 05:57:37,Sharjah,No barriers
27,Female,Working professional,9143,2,1-2,Rarely,Yes,No,18.85,Jar,Convenience store,Energy boost,4,None,Eco packaging,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,4,5,2024-10-21 01:18:47,Ajman,No barriers
35,Male,Working professional,3125,2,3-4,Weekly,Yes,No,6.79,Bottle,Online retailer,Digestive health,4,BrandB,No artificial flavors,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3,4,2,2024-12-25 20:36:56,Fujairah,No barriers
26,Male,Self-employed,6230,4,None,Monthly,Yes,Yes,10.58,Powder sachet,Convenience store,Digestive health,5,BrandD,Eco packaging,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,3,5,2,2024-07-02 19:52:04,Dubai,No barriers
26,Male,Working professional,6405,3,1-2,Monthly,No,Yes,11.96,Bottle,Supermarket,Weight management,3,None,Organic,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,5,3,1,2,2024-10-13 14:50:10,Abu Dhabi,No barriers
24,Male,Working professional,3980,3,3-4,Daily,No,Yes,11.61,Powder sachet,Convenience store,Digestive health,2,BrandC,Eco packaging,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,4,3,1,5,2025-05-31 00:23:35,Dubai,No barriers
